source,scope,bank_name,utility_mode,count,mean_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,dSSIM,positive_ratio,worst_per_600,max_outer_worst_per_600,intervention_rate,mean_chosen_alpha,strict_gate_pass
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_micro_shrink,max_dpsnr,9000,0.14356809234619142,0.12111766391330295,0.15462425062391494,2.5787300533718533e-05,0.6976666666666667,0.0,0.0,0.6976666666666667,0.6616222222222222,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_shrink,max_dpsnr,9000,0.14356390974256727,0.12111761813693576,0.15461234198676216,2.5786479314168295e-05,0.6918888888888889,0.0,0.0,0.6918888888888889,0.6618611111111111,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_micro_shrink,tail_averse,9000,0.1434066734313965,0.12076709662543403,0.15444224887424046,2.768715222676595e-05,0.6948888888888889,0.0,0.0,0.6948888888888889,0.6550055555555555,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_shrink,tail_averse,9000,0.143399900648329,0.12075551011827257,0.15443202887641058,2.7719842063056097e-05,0.6866666666666666,0.0,0.0,0.6866666666666666,0.655,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_full,max_dpsnr,9000,0.14329772440592448,0.12110054355197483,0.1538957231309679,2.55140397283766e-05,0.6623333333333333,0.0,0.0,0.6623333333333333,0.6623333333333333,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_full,tail_averse,9000,0.14313476859198676,0.1207450900607639,0.1537041778564453,2.740958664152357e-05,0.6548888888888889,0.0,0.0,0.6548888888888889,0.6548888888888889,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_shrink,ssim_guarded,9000,0.14000362163119845,0.11784910837809245,0.1513586917453342,2.996561262342665e-05,0.6552222222222223,0.0,0.0,0.6552222222222223,0.6058888888888889,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_micro_shrink,ssim_guarded,9000,0.13995983526441785,0.11790930769178602,0.15122948879665798,3.0005971590677898e-05,0.6805555555555556,0.0,0.0,0.6805555555555556,0.6062166666666666,True
v37_real_blend_oracle_grid.csv,train_derived_dta,forced_L2_L3_L1_shrink_no_A0,max_dpsnr,9000,0.13188220151265462,0.10786322614881727,0.1422278306749132,1.7278042104509142e-05,0.6918888888888889,0.4666666666666667,2.0,1.0,0.7388888888888889,True
v37_real_blend_oracle_grid.csv,train_derived_dta,forced_L2_L3_L1_shrink_no_A0,tail_averse,9000,0.1317446626027425,0.10758080461290148,0.14206373935275607,1.892412371105618e-05,0.6917777777777778,0.4666666666666667,2.0,1.0,0.7333333333333333,True
v37_real_blend_oracle_grid.csv,train_derived_dta,forced_L2_L3_L1_shrink_no_A0,ssim_guarded,9000,0.12985961129930285,0.10656165652804904,0.1401779056125217,1.8235100640190972e-05,0.6915555555555556,0.4666666666666667,2.0,1.0,0.71375,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L3_shrink,max_dpsnr,9000,0.12285018391079373,0.1081925786336263,0.1297674306233724,2.4506621890597872e-05,0.6637777777777778,0.0,0.0,0.6637777777777778,0.6355833333333333,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L3_shrink,tail_averse,9000,0.12269006453620063,0.10790162573920356,0.12954846869574652,2.6183214452531603e-05,0.6602222222222223,0.0,0.0,0.6602222222222223,0.629,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L3_full,max_dpsnr,9000,0.12259876865810818,0.10817601267496744,0.12907156880696616,2.4282177289326986e-05,0.6362222222222222,0.0,0.0,0.6362222222222222,0.6362222222222222,True
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L2_L3_L1_full,ssim_guarded,9000,0.1401419800652398,0.11791352844238281,0.15106148274739584,2.9684417777591282e-05,0.5992222222222222,0.0,0.0,0.5992222222222222,0.5992222222222222,False
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L3_full,tail_averse,9000,0.12244464619954427,0.10790505642361112,0.12885651991102431,2.5860064559512667e-05,0.6295555555555555,0.0,0.0,0.6295555555555555,0.6295555555555555,False
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L3_full,ssim_guarded,9000,0.11939973322550455,0.10508385213216145,0.1261152581108941,2.8430713547600642e-05,0.5682222222222222,0.0,0.0,0.5682222222222222,0.5682222222222222,False
v37_real_blend_oracle_grid.csv,train_derived_dta,A0_L3_shrink,ssim_guarded,9000,0.11939819399515787,0.10508602650960286,0.12663580830891927,2.8680059644911023e-05,0.6252222222222222,0.0,0.0,0.6252222222222222,0.5768888888888889,False
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_micro_shrink,max_dpsnr,9000,0.14728236643473308,0.13092440626356336,0.15780022854275175,2.6112609439425998e-05,0.698,0.0,0.0,0.698,0.6621111111111111,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_shrink,max_dpsnr,9000,0.14727843941582575,0.130924313015408,0.15778973558213977,2.6105072763231067e-05,0.6921111111111111,0.0,0.0,0.6921111111111111,0.6621388888888889,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_micro_shrink,tail_averse,9000,0.1470963601006402,0.1306209242078993,0.15753580050998264,2.9032303227318657e-05,0.6937777777777778,0.0,0.0,0.6937777777777778,0.6537111111111111,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_shrink,tail_averse,9000,0.14709121407402886,0.13062518310546875,0.1575178680419922,2.904575400882297e-05,0.6852222222222222,0.0,0.0,0.6852222222222222,0.6535555555555556,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_shrink,high_positive_tail_averse,9000,0.14701614295111762,0.13050319247775607,0.15740455288357205,2.9139260450998943e-05,0.6918888888888889,0.0,0.0,0.6918888888888889,0.65275,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_micro_shrink,high_positive_tail_averse,9000,0.14699020682440864,0.13044178602430556,0.15738665771484375,2.9453357060750325e-05,0.6978888888888889,0.0,0.0,0.6978888888888889,0.6514166666666666,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_full,max_dpsnr,9000,0.1469552771250407,0.13090936703152126,0.15691719563802084,2.583169274859958e-05,0.6646666666666666,0.0,0.0,0.6646666666666666,0.6646666666666666,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_full,high_positive_tail_averse,9000,0.14685819371541342,0.13069815741644966,0.15680447387695312,2.7756326728396945e-05,0.6628888888888889,0.0,0.0,0.6628888888888889,0.6628888888888889,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_full,tail_averse,9000,0.1467764638264974,0.13058863152398004,0.15667711046006944,2.863707145055135e-05,0.6564444444444445,0.0,0.0,0.6564444444444445,0.6564444444444445,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_shrink,ssim_guarded,9000,0.14354140260484483,0.12729815165201822,0.15391528998480902,3.207336531745063e-05,0.6474444444444445,0.0,0.0,0.6474444444444445,0.6006388888888889,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_micro_shrink,ssim_guarded,9000,0.14351274744669595,0.12714550442165798,0.15398853386773004,3.2073981232113305e-05,0.6754444444444444,0.0,0.0,0.6754444444444444,0.6012722222222222,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,forced_U3_U2_U1_shrink_no_A0,max_dpsnr,9000,0.13609774928622775,0.12086537763807509,0.1451240963406033,2.351097265879313e-05,0.6921111111111111,0.7333333333333333,4.0,1.0,0.7391111111111112,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,forced_U3_U2_U1_shrink_no_A0,tail_averse,9000,0.13593963559468586,0.12061616431342231,0.14489194912380643,2.5921609666612413e-05,0.6921111111111111,0.7333333333333333,4.0,1.0,0.73225,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,forced_U3_U2_U1_shrink_no_A0,high_positive_tail_averse,9000,0.13583333079020182,0.12044276258680556,0.14473679945203993,2.6452190346188017e-05,0.6921111111111111,0.7333333333333333,4.0,1.0,0.7297777777777777,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,forced_U3_U2_U1_shrink_no_A0,ssim_guarded,9000,0.1341954746246338,0.11951954566107856,0.14302978515625,2.44893299208747e-05,0.6914444444444444,0.7333333333333333,4.0,1.0,0.71525,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_shrink,max_dpsnr,9000,0.12490815205044217,0.11608970726860894,0.13160187276204427,2.474131849077013e-05,0.6635555555555556,0.0,0.0,0.6635555555555556,0.6328611111111111,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_shrink,tail_averse,9000,0.12474923133850098,0.11587052324083116,0.1313430887858073,2.7526663409339057e-05,0.6564444444444445,0.0,0.0,0.6564444444444445,0.6232777777777778,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_shrink,high_positive_tail_averse,9000,0.12467389678955078,0.11576156955295139,0.13120594278971354,2.755594253540039e-05,0.6633333333333333,0.0,0.0,0.6633333333333333,0.6223055555555556,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_full,max_dpsnr,9000,0.12460381189982096,0.11607016330295139,0.1307768046061198,2.4540073341793483e-05,0.6333333333333333,0.0,0.0,0.6333333333333333,0.6333333333333333,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_full,high_positive_tail_averse,9000,0.12455185741848415,0.11597859870062933,0.130679933336046,2.6016136010487876e-05,0.6314444444444445,0.0,0.0,0.6314444444444445,0.6314444444444445,True
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U3_U2_U1_full,ssim_guarded,9000,0.14351067055596245,0.12723552958170573,0.153487550523546,3.175489770041572e-05,0.5947777777777777,0.0,0.0,0.5947777777777777,0.5947777777777777,False
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_full,tail_averse,9000,0.12444087600708008,0.1158301255967882,0.1305254397922092,2.7138173580169678e-05,0.6243333333333333,0.0,0.0,0.6243333333333333,0.6243333333333333,False
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_shrink,ssim_guarded,9000,0.12127405484517416,0.11241779836018881,0.128031736585829,3.058658705817329e-05,0.6161111111111112,0.0,0.0,0.6161111111111112,0.5671111111111111,False
v37_tau_real_blend_oracle_grid.csv,train_derived_dta,A0_U2_full,ssim_guarded,9000,0.12117380481296115,0.11215643480088976,0.1275550774468316,3.028461668226454e-05,0.558,0.0,0.0,0.558,0.558,False
v15_phase0_official_eval,val_regular_plus_val_hard,A0_FullUDP_endpoint,per_image_max_psnr,600,0.7416947523752848,1.1109101994832358,0.39711181640625,0.00022958377997080485,0.53,0.0,,0.53,,
